,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.061371102635,0.013480062018283362,0.03743,0.08999864425000001,0.01926561035894967,0.05795124
Step 1,0.06137110263500013,0.013480062018283358,0.03743,0.08999864424999979,0.019265610358949664,0.05795124
Step 2,0.08366366577500019,0.02208835681886555,0.0431618,0.13679518427499973,0.028285859187725068,0.08382269
Step 3,0.09917207395000018,0.02035142043312644,0.06840974,0.13062831157500007,0.036587774506930494,0.08051099
Step 4,0.10159096216500023,0.01688365326280451,0.06581565,0.11012774798999997,0.03462117656158374,0.05445473
Step 5,0.10732485514000005,0.02168826089982292,0.07953334,0.12006365812000018,0.0458735361500887,0.06585834
Step 6,0.11253094767000021,0.02485460514722388,0.07460531,0.12276949241000056,0.04325874673968896,0.07029696
Step 7,0.11857820165999997,0.02648740189049335,0.08955376,0.13529576913499985,0.07039833242680364,0.06247515
Step 8,0.1220654603249996,0.028114306938301793,0.08479655,0.12577162171,0.0638270802266694,0.04744832
Step 9,0.1234575827750001,0.02160868801615727,0.09703109,0.12162077515500021,0.038984979412205856,0.06611835
Step 10,0.13638078704499987,0.022354212878778094,0.09885892,0.15044645913500024,0.03890640194270284,0.09099763
