,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.04509590851,0.010901689277155738,0.02397676,0.046213116038,0.010823664422419874,0.02535583
Step 1,0.04509590850999986,0.010901689277155747,0.02397676,0.04621311603800003,0.010823664422419884,0.02535583
Step 2,0.048444999565999965,0.011219846041493491,0.02492757,0.04947696117600019,0.011102834282911554,0.02642814
Step 3,0.05020275859799992,0.01110510761618262,0.02897443,0.05113649611000005,0.010949653306711651,0.03000427
Step 4,0.05223314197999998,0.010688107139720099,0.03180069,0.053027866548000076,0.010507691610280501,0.03283731
Step 5,0.05423353791800014,0.010038357733840559,0.03455306,0.05488676203600006,0.009827597516827838,0.03529028
Step 6,0.05632694432199967,0.009949474651835342,0.03851279,0.056911195479999614,0.00971312247332834,0.03921296
Step 7,0.0576776239999997,0.009307262749120896,0.04266159,0.058286247924000056,0.009059729490270228,0.04331832
Step 8,0.06043419903399995,0.009227287189835183,0.04622995,0.06109272901600017,0.008960630446325975,0.04761555
Step 9,0.06254983935600018,0.009027453345169058,0.04882036,0.0633498660120001,0.008764407091884306,0.04963065
Step 10,0.06516380917799973,0.008880768753856367,0.05014216,0.06612921499999999,0.008627097781635626,0.05192352
