,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.056429127728,0.00774085559287841,0.04506974,0.050929480758,0.007696412980543922,0.03911001
Step 1,0.05642912772799997,0.007740855592878408,0.04506974,0.0509294807580002,0.007696412980543938,0.03911001
Step 2,0.058047894890000076,0.008724587554895379,0.0456114,0.04857890341599998,0.008584068927287561,0.03661608
Step 3,0.06195404939599994,0.01339961355626156,0.0461179,0.049709707984000116,0.014450648942632602,0.03718655
Step 4,0.06710494578200003,0.015372064101519842,0.0429515,0.05353345206199997,0.017028558024239235,0.03899292
Step 5,0.07415211429399972,0.016579223736342505,0.04996156,0.060842185415999776,0.01817518368284556,0.0413337
Step 6,0.08120423366199987,0.017704546598121294,0.05023147,0.06915680597999978,0.019192931615024604,0.04678944
Step 7,0.08796897474799983,0.018703831733448098,0.04913008,0.0776008255899998,0.02001309269017086,0.04854987
Step 8,0.09393054580600034,0.018789701880812405,0.05285512,0.08548186163600019,0.01995175371251939,0.05347443
Step 9,0.09891002143599997,0.0188652773668123,0.05421873,0.09258926249000021,0.019871588986217804,0.05696441
Step 10,0.10282412649200055,0.018856354365158708,0.05872938,0.09857297186000033,0.01939639684733868,0.05919994
