,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.183998095928,0.0332291582813122,0.0,0.1213063768,0.022773218930747706,0.0
Step 1,0.18183544499000087,0.0357018506629106,0.0,0.12153788876000202,0.024800706527227552,0.0
Step 2,0.1819191904440016,0.03454986517601394,0.0,0.12066944476999852,0.023483839342773153,0.0
Step 3,0.18567466916400152,0.034356884153556214,0.0,0.12240088263600053,0.024223051293944014,0.0
Step 4,0.17962443062999933,0.03687504953688676,0.0,0.1182858284759988,0.025965095142614095,0.0
Step 5,0.18459225543200095,0.038787211177945,0.0,0.12160688229599996,0.026063451272237803,0.0
Step 6,0.18013530352000254,0.03652688806690011,0.0,0.1186695282959994,0.026153466074789914,0.0
Step 7,0.18219021876199945,0.03592749366567813,0.0,0.11908911118000051,0.02492173332831241,0.0
Step 8,0.18727865966399618,0.032888204538598274,0.0,0.12286616964800177,0.022743491832930455,0.0
Step 9,0.18636857810999907,0.03254214741923177,0.0,0.12209104471999849,0.021997982381602204,0.0
Step 10,0.18607415727600052,0.03565153245923062,0.0,0.12208579989799928,0.025675353042775233,0.0
